w_c,w_s,p,r_in,h,n_rings,r_out,gamma_eff,bias_g05,bias_g50,bias_g90,solve_s
0.8,0.5,1.3,6.0,0.25,63,11.0,0.85,1.677186649562401e-07,1.0049103732145959e-05,0.009031514116136119,1.5
0.8,0.5,1.3,7.0,0.25,63,12.0,0.85,2.1981045028596213e-07,3.681243062891859e-05,0.0015789638773340275,1.8
0.8,0.5,1.3,8.0,0.25,63,13.0,0.85,9.276330548146916e-07,5.380937147003717e-05,0.0012997475910918599,2.6
0.8,0.5,1.3,9.0,0.25,63,14.0,0.9,1.006885550047798e-06,7.17267227779983e-05,8.334193444081706e-05,2.9
0.8,0.5,1.3,10.0,0.25,63,15.0,0.9,1.2126160732206515e-06,0.00011404970794470781,0.00021337291360712385,3.2
0.8,0.8,1.6,3.0,0.25,52,8.0,0.6,1.8199383187145202e-06,0.00017395995687397026,0.08809381749248302,0.9
0.8,0.8,1.6,4.0,0.25,52,9.0,0.75,4.0756118202534e-07,1.1663132691852596e-05,0.013585221870032527,1.3
0.8,0.8,1.6,5.0,0.25,52,10.0,0.75,8.630278411914105e-07,0.00012682469109037697,0.013993194144196197,1.4
0.8,0.8,1.6,6.0,0.25,52,11.0,0.85,6.356542587848679e-07,0.00011629977641647304,0.01190884602815534,1.6
0.8,0.8,1.6,7.0,0.25,52,12.0,0.85,1.802409093087931e-07,2.457071410111311e-05,0.003173262132450727,1.8
0.8,0.8,1.6,8.0,0.25,52,13.0,0.8,4.3579631525680895e-07,6.964075180748708e-06,0.004454810400315035,2.3
0.8,0.8,1.6,9.0,0.25,52,14.0,0.9,1.4251233874107427e-06,0.00014386946195565908,0.0002266428763884054,2.6
0.8,0.8,1.6,10.0,0.25,52,15.0,0.85,9.647255987399461e-07,5.79755888107103e-05,0.0010327225047117583,2.8
0.8,1.0,1.8,3.0,0.25,46,8.0,0.7,2.089575828589929e-06,0.00013500913839115114,0.08304133842340433,0.8
0.8,1.0,1.8,4.0,0.25,46,9.0,0.75,2.6869018820985247e-06,0.0001736732116826012,0.012942401920704949,1.1
0.8,1.0,1.8,5.0,0.25,46,10.0,0.75,1.7360921940046126e-06,0.00022661266917767264,0.01431071074670287,1.2
0.8,1.0,1.8,6.0,0.25,46,11.0,0.85,4.500322892120323e-08,1.2301447231077844e-05,0.013239144815214043,1.4
0.8,1.0,1.8,7.0,0.25,46,12.0,0.85,9.600492290040563e-07,0.00024150673396461375,0.0013049479759152938,1.6
0.8,1.0,1.8,8.0,0.25,46,13.0,0.8,7.909487755863864e-07,0.00012521667582499063,0.003974445882762412,2.1
0.8,1.0,1.8,9.0,0.25,46,14.0,0.9,9.262914782981468e-07,5.79787588886882e-05,0.00067773789930059,2.3
0.8,1.0,1.8,10.0,0.25,46,15.0,0.7,2.055950039547838e-06,0.0002813865647449676,0.0018596721169956698,2.6
0.8,1.2,2.0,3.0,0.25,41,8.0,0.6,4.1427255748072156e-07,6.146683686125698e-05,0.1235261430617478,0.7
0.8,1.2,2.0,4.0,0.25,41,9.0,0.7,2.5835794370543397e-07,6.221817471563362e-06,0.022423908836589623,0.9
0.8,1.2,2.0,5.0,0.25,41,10.0,0.8,2.4308120438742975e-07,2.3307692824769966e-05,0.02094879930294269,1.2
0.8,1.2,2.0,6.0,0.25,41,11.0,0.8,2.319385297155918e-07,3.028862224729867e-05,0.02125375247145822,1.4
0.8,1.2,2.0,7.0,0.25,41,12.0,0.85,2.3362497458823128e-07,4.203868381114084e-05,0.004149914114424114,1.5
0.8,1.2,2.0,8.0,0.25,41,13.0,0.85,9.85168180034357e-07,5.777088821357079e-05,0.004537934409273081,1.8
0.8,1.2,2.0,9.0,0.25,41,14.0,0.9,1.0930809141163067e-06,8.111722199821703e-05,0.00061148467113048,2.0
0.8,1.2,2.0,10.0,0.25,41,15.0,0.9,1.28662266996038e-06,0.00011781396606180827,0.0008654983799309957,2.2
0.8,1.6,2.4000000000000004,3.0,0.25,35,8.0,0.6,1.0534469069289898e-06,0.00019182674969120406,0.07904551319032826,0.7
0.8,1.6,2.4000000000000004,4.0,0.25,35,9.0,0.65,2.1680661133061108e-06,0.00022402518039865704,0.017577295756111555,0.9
0.8,1.6,2.4000000000000004,5.0,0.25,35,10.0,0.75,1.5726317226238962e-07,1.0006004324214501e-05,0.014082549677899348,1.1
